iter	Passed	Remaining
391	387936	601697
392	388889	600651
393	389839	599601
394	390817	598593
395	391879	597715
396	392845	596689
397	393889	595782
398	395359	595517
399	397211	595816
400	399223	596346
401	401011	596529
402	402644	596472
403	406165	599194
404	407342	598441
405	408358	597450
406	409367	596449
407	410344	595401
408	411435	594519
409	412441	593513
410	413428	592480
411	414447	591493
412	415454	590488
413	416436	589449
414	417351	588315
415	418297	587224
416	419204	586082
417	420143	584985
418	421180	584023
419	422093	582890
420	423044	581812
421	424043	580799
422	425059	579809
423	426095	578846
424	428208	579340
425	429973	579353
426	431760	579387
427	434835	581135
428	436520	581009
429	438531	581309
430	439548	580285
431	440601	579309
432	441618	578285
433	442655	577287
434	443716	576321
435	444760	575332
436	445840	574389
437	446878	573392
438	447928	572409
439	448940	571378
440	449908	570292
441	450863	569189
442	451850	568127
443	452811	567033
444	453790	565963
445	454768	564892
446	455737	563809
447	456715	562738
448	457675	561646
449	458678	560607
450	459634	559510
451	460573	558394
452	461535	557307
453	462483	556203
454	463485	555164
455	464421	554046
456	465384	552962
457	466374	551910
458	467294	550776
459	468210	549638
460	469181	548566
461	470124	547460
462	471061	546349
463	472031	545277
464	473003	544208
465	473951	543112
466	474921	542041
467	475836	540908
468	476828	539862
469	477801	538797
470	478761	537717
471	479726	536642
472	480698	535577
473	481666	534507
474	482610	533411
475	483588	532353
476	484588	531320
477	485530	530223
478	486483	529139
479	487431	528050
480	488380	526963
481	489351	525900
482	490286	524799
483	491261	523741
484	492240	522688
485	493229	521645
486	494265	520653
487	495239	519595
488	496174	518497
489	497116	517407
490	498065	516324
491	499017	515246
492	499955	514152
493	500934	513102
494	501887	512026
495	502862	510973
496	503808	509890
497	504783	508837
498	505739	507767
499	506660	506660
500	507643	505616
501	508561	504509
502	509512	503434
503	510442	502340
504	511398	501272
505	512346	500196
506	513289	499115
507	514249	498052
508	515197	496978
509	516136	495895
510	517083	494821
511	518056	493772
512	519023	492717
513	519981	491656
514	520940	490594
515	521883	489518
516	522837	488454
517	523867	487459
518	524858	486429
519	525815	485368
520	526776	484310
521	527722	483240
522	528664	482166
523	529622	481107
524	530564	480034
525	531479	478938
526	532448	477890
527	533397	476824
528	534339	475754
529	535297	474697
530	536263	473648
531	537201	472575
532	538149	471511
533	539084	470437
534	540097	469430
535	541021	468347
536	541987	467300
537	542927	466231
538	543838	465138
539	544789	464080
540	545767	463044
541	546719	461988
542	547727	460978
543	548692	459933
544	549662	458892
545	550622	457843
546	551606	456814
547	552549	455752
548	553529	454720
549	554483	453668
550	555467	452640
551	556483	451638
552	557392	450550
553	558358	449508
554	559384	448515
555	560393	447508
556	561415	446511
557	562435	445513
558	563412	444480
559	564329	443401
560	565266	442338
561	566224	441292
562	567156	440226
563	568132	439194
564	569094	438152
565	570072	437122
566	571036	436082
567	571999	435041
568	572938	433983
569	573893	432937
570	574830	431877
571	575806	430848
572	576740	429787
573	577702	428747
574	578696	427731
575	579668	426700
576	580638	425667
577	581586	424618
578	582551	423582
579	583529	422555
580	584500	421524
581	585441	420471
582	586362	419404
583	587319	418364
584	588250	417305
585	589189	416253
586	590216	415263
587	591164	414217
588	592150	413198
589	593128	412174
590	594070	411124
591	595010	410074
592	596031	409080
593	596979	408036
594	597939	407000
595	598906	405969
596	599865	404934
597	600826	403900
598	601785	402864
599	602766	401844
600	603703	400794
601	604664	399761
602	605632	398732
603	606609	397710
604	607549	396664
605	608478	395611
606	609442	394581
607	610469	393592
608	611539	392630
609	612483	391587
610	613459	390565
611	614429	389540
612	615422	388529
613	616391	387503
614	617393	386498
615	618322	385447
616	619280	384415
617	620222	383373
618	621188	382347
619	622155	381321
620	623108	380286
621	624077	379262
622	625054	378243
623	626024	377220
624	627067	376240
625	628061	375231
626	629054	374222
627	629960	373161
628	630921	372133
629	631882	371105
630	632840	370076
631	633779	369036
632	634751	368015
633	635720	366993
634	636688	365970
635	637646	364942
636	638614	363919
637	639614	362916
638	640578	361891
639	641539	360865
640	642530	359857
641	643441	358803
642	644444	357802
643	645420	356785
644	646364	355751
645	647443	354791
646	648383	353755
647	649307	352710
648	650270	351687
649	651212	350652
650	652141	349611
651	653060	348565
652	654015	347539
653	654978	346517
654	655941	345495
655	656873	344457
656	657804	343420
657	658771	342400
658	659729	341377
659	660700	340361
660	661658	339337
661	662599	338306
662	663515	337262
663	664459	336232
664	665405	335204
665	666340	334170
666	667324	333161
667	668328	332163
668	669304	331150
669	670269	330132
670	671237	329116
671	672181	328088
672	673151	327073
673	674088	326042
674	675026	325012
675	675994	323997
676	676956	322979
677	677886	321946
678	678882	320944
679	679864	319936
680	680823	318917
681	681755	317885
682	682737	316878
683	683759	315889
684	684727	314874
685	685725	313874
686	686750	312886
687	687756	311889
688	688769	310895
689	689780	309901
690	690863	308939
691	691843	307930
692	692979	306990
693	694065	306028
694	695118	305051
695	696152	304066
696	697155	303067
697	698073	302031
698	699044	301019
699	699995	299998
700	700949	298978
701	701888	297952
702	702837	296931
703	703783	295909
704	704791	294912
705	705735	293889
706	706707	292878
707	707664	291861
708	708608	290839
709	709554	289818
710	710573	288826
711	711543	287815
712	712533	286812
713	713489	285795
714	714468	284788
715	715449	283781
716	716414	282769
717	717417	281771
718	718362	280750
719	719335	279741
720	720311	278733
721	721341	277746
722	722298	276731
723	723274	275723
724	724282	274727
725	725270	273724
726	726228	272710
727	727166	271688
728	728080	270658
729	729065	269654
730	730055	268652
731	731038	267648
732	731945	266615
733	732924	265610
734	733904	264605
735	734880	263598
736	735783	262565
737	736768	261562
738	737724	260549
739	738636	259521
740	739602	258511
741	740612	257517
742	741575	256507
743	742541	255497
744	743494	254484
745	744445	253470
746	745440	252471
747	746424	251469
748	747405	250465
749	748385	249461
750	749361	248456
751	750342	247453
752	751316	246447
753	752290	245442
754	753261	244435
755	754240	243432
756	755154	242407
757	756151	241409
758	757127	240405
759	758156	239417
760	759197	238433
761	760211	237441
762	761176	236433
763	762143	235426
764	763117	234421
765	764099	233419
766	765045	232406
767	766006	231397
768	766981	230393
769	767941	229385
770	768910	228379
771	769891	227377
772	770852	226369
773	771803	225358
774	772769	224352
775	773725	223343
776	774686	222335
777	775641	221326
778	776650	220333
779	777639	219334
780	778575	218320
781	779553	217318
782	780487	216303
783	781471	215303
784	782471	214307
785	783433	213301
786	784385	212292
787	785391	211298
788	786383	210300
789	787358	209297
790	788386	208309
791	789420	207322
792	790436	206330
793	791406	205327
794	792411	204332
795	793394	203332
796	794371	202330
797	795310	201319
798	796299	200320
799	797269	199317
800	798225	198310
801	799153	197297
802	800141	196298
803	801116	195296
804	802067	194289
