iter	MultiClass
235	0.3639848544
236	0.363804554
237	0.3636493872
238	0.3632721262
239	0.3630199913
240	0.3627262266
241	0.3626482852
242	0.3625164521
243	0.3622948719
244	0.3621185137
245	0.3617374306
246	0.361462091
247	0.3612280159
248	0.3609489674
249	0.360790517
250	0.3605222818
251	0.3604192865
252	0.3602938269
253	0.3601794155
254	0.3597482224
255	0.359611824
256	0.3592711511
257	0.3589820522
258	0.3588720564
259	0.3587634736
260	0.3586148683
261	0.3583844865
262	0.3582605922
263	0.3581359621
264	0.3578705293
265	0.3577691647
266	0.357603865
267	0.3572606971
268	0.3571445604
269	0.357094439
270	0.3569638272
271	0.356675237
272	0.3565762615
273	0.3564113173
274	0.3561415683
275	0.3559548573
276	0.3558202434
277	0.3555473372
278	0.3553633214
279	0.3551891543
280	0.3550800538
281	0.3546904696
282	0.354581365
283	0.3544664558
284	0.354228948
285	0.3538690938
286	0.3535945458
287	0.3533661583
288	0.3531891971
289	0.3531190829
290	0.3529416682
291	0.3525481625
292	0.3524326666
293	0.3521498083
294	0.3519629261
295	0.3518740803
296	0.3515157698
297	0.3514283344
298	0.3511674693
299	0.3508599091
300	0.3507782675
301	0.3506771292
302	0.3504536478
303	0.3503437802
304	0.3502121821
305	0.3501097456
306	0.3499275095
307	0.3497678229
308	0.3496571321
309	0.3495661242
310	0.3492758626
311	0.3491124871
312	0.3490175962
313	0.3488393332
314	0.3486483104
315	0.3484013622
316	0.3481242749
317	0.3478989841
318	0.3477133624
319	0.3475383698
320	0.347443023
321	0.3473226499
322	0.347216955
323	0.3471387261
324	0.3470384437
325	0.3469642231
326	0.3468140459
327	0.3465631188
328	0.3462821348
329	0.346056785
330	0.3458082184
331	0.3457018176
332	0.3455679856
333	0.3454461753
334	0.3453909684
335	0.3452303424
336	0.3451555046
337	0.3449248412
338	0.3444708213
339	0.3443831459
340	0.3441515262
341	0.3439858037
342	0.3437992174
343	0.3436107221
344	0.3433437911
345	0.3432377949
346	0.3429321087
347	0.3428579776
348	0.3425601098
349	0.3424452968
350	0.3422941202
351	0.3421974732
352	0.3419268102
353	0.3416716209
354	0.3415712456
355	0.3412889412
356	0.3412051448
357	0.3409692643
358	0.3407491145
359	0.340588099
360	0.3404508325
361	0.3401761571
362	0.3400234234
363	0.3397679416
364	0.339655772
365	0.3394133865
366	0.3391618082
367	0.3389452488
368	0.3388401691
369	0.3387211751
370	0.3385144981
371	0.3382435215
372	0.3380433086
373	0.3378732874
374	0.3377651165
375	0.3375608616
376	0.33746965
377	0.337336476
378	0.3370748882
379	0.336830321
380	0.3367447911
381	0.3366088911
382	0.3364882811
383	0.3362963756
384	0.3359289173
385	0.3357593151
386	0.3356803525
387	0.3354831709
388	0.3354236637
389	0.335338743
390	0.3352514811
391	0.3351763085
392	0.3350060241
393	0.3346507496
394	0.3345226916
395	0.3341557105
396	0.3339774376
397	0.3338886229
398	0.3337337418
399	0.3335213211
400	0.3334525714
401	0.3331772467
402	0.3330903861
403	0.3328447991
404	0.3326366558
405	0.3324669043
406	0.3322959894
407	0.3322588133
408	0.3319756381
409	0.3318285851
410	0.3317703242
411	0.3316306497
412	0.3314219234
413	0.3311905559
414	0.3310696109
415	0.3309629408
416	0.3308561872
417	0.3307882775
418	0.3305727103
419	0.3304180933
420	0.3302935556
421	0.3301362155
422	0.3299690618
423	0.3297409221
424	0.329648096
425	0.3295163585
426	0.3293797852
427	0.3292279798
428	0.3291432213
429	0.3290549982
430	0.3289554672
431	0.3286670985
432	0.3285274435
433	0.3284627358
434	0.3282946966
435	0.3281397086
436	0.3279495639
437	0.3277982446
438	0.3276271141
439	0.3271838854
440	0.3270063935
441	0.3269445754
442	0.3267592654
443	0.3266214498
444	0.3264603231
445	0.3262298717
446	0.3261297465
447	0.3260002262
448	0.3259385291
449	0.3257369445
450	0.325593868
451	0.3255281476
452	0.3253338311
453	0.3251604251
454	0.3250100841
455	0.3249149554
456	0.3248228903
457	0.324716227
458	0.3246061836
459	0.3245166999
460	0.3243596702
461	0.3241501116
462	0.3240506391
463	0.3239305842
464	0.3238241017
465	0.3236833733
466	0.3235465997
467	0.3234452346
468	0.3231661168
469	0.3231033972
470	0.3228498305
471	0.3227317592
472	0.3225721287
473	0.3224945503
474	0.3224234183
475	0.3222028948
476	0.3219153176
477	0.3218187074
478	0.3217372925
479	0.3216035294
480	0.3215106385
481	0.3213127398
482	0.3212281746
483	0.3208502987
484	0.3206084929
485	0.3205282941
486	0.3203867292
487	0.320244172
488	0.3201482437
489	0.3201007061
490	0.3199117733
491	0.3197740809
492	0.3196072075
493	0.319481542
494	0.3193381737
495	0.3192270344
496	0.3190379279
497	0.318914948
498	0.3188697072
499	0.3187816854
500	0.3186368072
501	0.3185020102
502	0.3183875052
503	0.3182652239
504	0.3181695639
505	0.3180037824
506	0.317934439
507	0.317827817
508	0.3177788066
509	0.3176927726
510	0.3175897798
511	0.317447168
512	0.3172360995
513	0.3171275444
514	0.3170494208
515	0.3170131319
516	0.316968951
517	0.3166878182
518	0.3165933857
519	0.3164967177
520	0.3163967294
521	0.316257862
522	0.3161224541
523	0.3160347091
524	0.3159634796
525	0.3159118896
526	0.3158264138
527	0.3157589032
528	0.3156483104
529	0.3155305465
530	0.3153858778
531	0.3153186537
532	0.3152633421
533	0.315113047
534	0.3148688592
535	0.3148305541
536	0.3146799793
537	0.3145815704
538	0.3145088629
539	0.3144331921
540	0.3143016478
541	0.3142350296
542	0.3138951014
543	0.3137165532
544	0.313630877
545	0.3134223272
546	0.313288021
547	0.3131503687
548	0.3130299117
549	0.3129211655
550	0.3128265238
551	0.3125099405
552	0.3124067687
553	0.3123247079
554	0.3121424856
555	0.3120025593
556	0.3118853163
557	0.3117260289
558	0.3116317578
559	0.3115256216
560	0.3113677095
561	0.3113056344
562	0.3112322774
563	0.3110257837
564	0.3109164679
565	0.3108087577
566	0.3106661544
567	0.3106060609
568	0.3103717156
569	0.3102908412
570	0.310193876
571	0.3100877921
572	0.3100104062
573	0.3098161385
574	0.3096942432
575	0.309619809
576	0.3094536999
577	0.3093361531
578	0.3092657198
579	0.3091561013
580	0.3090469069
581	0.3089756972
582	0.3089317366
583	0.308838939
584	0.3087773758
585	0.308671206
586	0.3084147112
587	0.3083188487
588	0.3082061458
589	0.3081180289
590	0.3080485414
591	0.3078403488
592	0.3077174208
593	0.3076462149
594	0.3075655822
595	0.3073626959
596	0.3073090183
597	0.3071620466
598	0.3070725802
599	0.3069094707
600	0.3068454708
601	0.3067641911
602	0.3066742856
603	0.3065751471
604	0.3064644395
605	0.3063562371
606	0.3062442554
607	0.3061272255
608	0.306046598
609	0.3060263151
610	0.3059300193
611	0.3056840794
612	0.3055880028
613	0.3054914555
614	0.3052723041
615	0.3051404317
616	0.3049960528
617	0.304938015
618	0.3048413383
619	0.3047498625
620	0.3046095849
621	0.3045207704
622	0.3043653511
623	0.3043079725
624	0.3040078222
625	0.3038341224
626	0.3037169375
627	0.3036943107
628	0.3036105167
629	0.3035396092
630	0.3034913038
631	0.3034196832
632	0.3032564867
633	0.3032155569
634	0.3030876882
635	0.3030321218
636	0.3028642103
637	0.3027366346
638	0.3026279391
639	0.3025156856
640	0.302428351
641	0.302397113
642	0.30227684
643	0.3021787167
644	0.3021099269
645	0.3019339563
646	0.3018302035
647	0.3016878443
648	0.3015996273
649	0.3015111505
650	0.3014356168
651	0.3013979527
652	0.3013022162
653	0.3012530103
654	0.301100393
655	0.3010245868
656	0.3009702326
657	0.300915864
658	0.300852273
659	0.3007933152
660	0.3006265836
661	0.3005192738
662	0.3004825525
663	0.3004249356
664	0.3003616444
665	0.3002840489
666	0.3001668304
667	0.300050204
668	0.2999889908
669	0.2999288033
670	0.2997796379
671	0.2997134284
672	0.2996062132
673	0.2995818781
674	0.299540686
675	0.2993713852
676	0.2992509052
677	0.2991762689
678	0.2990645324
679	0.2988566321
680	0.2987867576
681	0.298710739
682	0.2985580425
683	0.298477728
684	0.2984278751
685	0.2983497159
686	0.2982446524
687	0.2981346037
688	0.2980160749
689	0.2979488743
690	0.2978496904
691	0.2977796759
692	0.2976524407
693	0.2975985449
694	0.2975301886
695	0.2974216
696	0.2971889856
697	0.2971434556
698	0.2970823482
699	0.296994956
700	0.296917878
701	0.2968665199
702	0.2967950077
703	0.2967226201
704	0.2966574474
705	0.2965968888
706	0.2964594919
707	0.296410122
708	0.2963417868
709	0.2962689906
710	0.296091765
711	0.2959653275
712	0.2958470736
713	0.2957925875
714	0.295663693
715	0.2956082742
716	0.2955314656
717	0.295452995
718	0.2953980973
719	0.2953159452
720	0.2952396184
721	0.2950468555
722	0.2949405583
723	0.2948663716
724	0.2947351673
725	0.2946286276
726	0.2944918093
727	0.2943668911
728	0.294294013
729	0.2941211014
730	0.2940495542
731	0.293955748
732	0.2939061592
733	0.2937687858
734	0.2937327987
735	0.2936721539
736	0.2935922559
737	0.29353325
738	0.2934359419
739	0.2933572873
740	0.2932698466
741	0.2930352006
742	0.2929477524
743	0.2928550812
744	0.2927570444
745	0.2926610478
746	0.2925006407
747	0.2924405815
748	0.29238246
749	0.2922235794
750	0.2921594709
751	0.2920795914
752	0.2919663134
753	0.2918099431
754	0.2916856988
755	0.2915644897
756	0.2914955536
757	0.2914202717
758	0.2911654217
759	0.2910410501
760	0.2909485483
761	0.2907846132
762	0.2907163607
763	0.2906606037
764	0.290510118
765	0.2904605274
766	0.2904073074
767	0.290350921
768	0.2902414435
769	0.2901455937
770	0.2900971254
771	0.2900199712
772	0.2899777069
773	0.2898616387
774	0.2898093383
775	0.2897612768
776	0.2897024564
777	0.2896180844
778	0.2894802923
779	0.2892988727
780	0.2892728943
781	0.2891442055
782	0.2890939249
783	0.2890110962
784	0.288894129
785	0.2888364497
786	0.2887960842
787	0.2885982279
788	0.2885289709
789	0.2884168142
790	0.2882052534
791	0.2880877172
792	0.2880133376
793	0.2878620655
794	0.2876823879
795	0.2875446084
796	0.287474992
797	0.2874185212
798	0.2872829218
799	0.2871748493
800	0.2870934884
801	0.2870531005
802	0.2869864528
803	0.2868795257
804	0.2867671295
805	0.2866866797
806	0.2866504499
807	0.2865778389
808	0.2863740763
809	0.2863259249
810	0.286270227
811	0.2862180897
812	0.2861459388
813	0.2861346381
814	0.2860541179
815	0.2858716633
816	0.2857555827
817	0.2857068222
818	0.2856129735
819	0.2855023559
820	0.2854036229
821	0.2853679149
822	0.2852101546
823	0.2850724081
824	0.2850274186
825	0.2849167637
826	0.2848516353
827	0.2847366162
828	0.2846909651
829	0.284650066
830	0.2845563263
831	0.2844695762
832	0.2843863316
833	0.2843213704
834	0.2841852472
835	0.2841162743
836	0.2840448203
837	0.2839400574
838	0.2838528453
839	0.2837975074
840	0.2837899871
841	0.2837487804
842	0.2836715258
843	0.283593704
844	0.2835580678
845	0.2834480136
846	0.2834334897
847	0.2833569545
848	0.2833097588
849	0.2832812738
850	0.2832351547
851	0.2832045624
852	0.2831304292
853	0.2830174798
854	0.2828665698
855	0.2827835691
856	0.2826886327
857	0.2825969271
858	0.2825858206
859	0.2824733016
860	0.282458243
861	0.2824169639
862	0.2823756518
863	0.2822317762
864	0.2821847217
865	0.2821452345
866	0.2820535675
867	0.2819904939
868	0.2819105112
869	0.2817993535
870	0.2817139038
871	0.2816555534
872	0.2815534622
873	0.2815010229
874	0.2813717422
875	0.2813007084
876	0.2812297736
877	0.2812025891
878	0.2811598363
879	0.2810081472
880	0.2809109016
881	0.2808221361
882	0.2807226428
883	0.2806220407
884	0.2806113726
885	0.2805605906
886	0.2804776465
887	0.2804381679
888	0.2804273735
889	0.2803260955
890	0.2802707971
891	0.2801913272
892	0.2801052381
893	0.2800154362
894	0.2799595745
895	0.2798951932
896	0.2798016078
897	0.2797131409
898	0.2796670502
899	0.2795823404
900	0.2794602831
901	0.2794110603
902	0.2793593988
903	0.279309068
904	0.2792339017
905	0.2791941286
906	0.2791338824
907	0.2790593
908	0.2788984052
909	0.2788137036
910	0.2787726219
911	0.278669365
912	0.2785992578
913	0.2785182766
914	0.2784812662
915	0.2783914991
916	0.2783587033
917	0.2783088483
918	0.2782344232
919	0.278052735
920	0.2779805469
921	0.2778578003
922	0.2777686738
923	0.2777014191
924	0.2776618871
925	0.2776499273
926	0.2775895012
927	0.2775582656
928	0.2774988394
929	0.2774328677
930	0.2772157015
931	0.2770233658
932	0.2769503096
933	0.2767562657
934	0.2766815968
935	0.2766378073
936	0.27656699
937	0.2765043752
938	0.2764335013
939	0.2763660763
940	0.2762642521
941	0.2762065697
942	0.2761178745
943	0.2760438211
944	0.2759785358
945	0.2759475718
946	0.2758475587
947	0.2757646134
948	0.2756749262
949	0.2756267927
950	0.2755957845
951	0.2755099826
952	0.2754359613
953	0.2753805417
954	0.2753092269
955	0.2751368067
956	0.2750778539
957	0.2749932955
958	0.2749263648
959	0.2748638861
960	0.2748331617
961	0.2747648672
962	0.2747007516
963	0.2746266906
964	0.2744767672
965	0.2744390978
966	0.2743958396
967	0.2743396633
968	0.2743107167
969	0.2742280248
970	0.274094298
971	0.2740192948
972	0.2739741883
973	0.2739213917
974	0.2738590417
975	0.2737978073
976	0.2737374565
977	0.2735577768
978	0.2734465435
979	0.2733611813
980	0.2733061117
981	0.2731981414
982	0.2731396712
983	0.2730883279
984	0.2730479077
985	0.2728601928
986	0.2727420271
987	0.2726360738
988	0.2725392649
989	0.2724658075
990	0.2724268309
991	0.2723600137
992	0.2722027628
993	0.2721503687
994	0.2721380058
995	0.2720948275
996	0.2720336997
997	0.2719651896
998	0.271714144
999	0.2716296504
